Start,End,mean,standard deviation,min,max,median,mode,skew,Kurtosis,80_percentile,60_percentile,40_percentile,20_percentile,RMS,IQR,count>mean,count<mean,range,COV_M,pNN50,pNN20,RMSSD,nn50,nn20,SDSD,zcross,Lf,MF,HF,Lf/HF,Count,Participant,Activity
1.50E+12,1.50E+12,696.2470588,38.80870305,609,765,693,653,-0.227232142,-0.771479642,737,710.6,681.6,664.2,697.3278156,60,0.494117647,0.505882353,156,1524.045378,0.023529412,0.294117647,23.32355237,2,25,15.80196947,15,65.92941176,72.87058824,62.82352941,1.049438202,0.98635,2,NA
1.50E+12,1.50E+12,662.9325843,34.67985127,585,749,661,653,0.379859899,0.210894689,686.6,669,653.8,635,663.8390644,40,0.494382022,0.505617978,164,1216.35904,0.02247191,0.235955056,20.01334782,2,21,12.9201647,15,67.78651685,64.23595506,64.58426966,1.049582463,0.98335,2,Eating
1.50E+12,1.50E+12,644.7977528,36.78457779,577,781,645,645,0.611336487,0.865544748,674.6,653,629.6,613,645.8461482,53,0.516853933,0.483146067,204,1368.481359,0.033707865,0.292134831,85.7626879,3,26,82.13773377,11,67.23595506,61.98876404,65.62921348,1.024482109,0.95645,2,Eating
1.50E+12,1.50E+12,626.2934783,36.41862222,561,781,617,613,1.182170757,2.572664636,649,625,613,601,627.3514461,40,0.380434783,0.619565217,220,1340.890946,0.02173913,0.22826087,83.83493725,2,21,80.6991817,17,61.04347826,60.08695652,59.01086957,1.034444649,0.960316667,2,Eating
1.50E+12,1.50E+12,624.7340426,28.04069062,561,693,621,609,0.167579372,-0.224068335,649,628.2,613.6,605,625.363018,39,0.478723404,0.521276596,132,794.7349577,0.010638298,0.138297872,68.5915917,1,13,65.80739159,18,63.92553191,70.19148936,58.56382979,1.091553134,0.97875,2,Eating
1.50E+12,1.50E+12,638.3043478,27.15324431,589,709,639,649,0.336634417,-0.570426538,660.2,646.8,629,609.6,638.8816315,44,0.5,0.5,120,745.40086,0.010869565,0.119565217,69.27703582,1,11,66.64563469,12,61,64.35869565,62.61956522,0.974136435,0.978733333,2,Eating
1.50E+12,1.50E+12,622.6526316,33.77877516,549,709,621,649,-0.081151445,-0.195856166,649,633,613,600.2,623.5682042,44,0.484210526,0.515789474,160,1153.144009,0,0.073684211,13.95318922,0,7,8.940253626,7,65.02105263,53.30526316,61.69473684,1.053915714,0.985866667,2,Eating
1.50E+12,1.50E+12,625.9247312,38.84549947,549,725,621,605,0.221343825,-0.190188187,655.4,633.6,616.2,597,627.1289675,44,0.462365591,0.537634409,176,1525.374708,0,0.107526882,14.03097045,0,10,8.927785257,8,63.19354839,60.1827957,67.96774194,0.92975795,0.970183333,2,Eating
1.50E+12,1.50E+12,659.4333333,32.0728511,585,725,661,673,-0.005897824,-0.593064001,685,669,653,629,660.2128361,44,0.522222222,0.477777778,140,1040.225843,0,0.2,17.23922885,0,18,11.17865163,11,67.61111111,66.72222222,64.67777778,1.045353032,0.98915,2,Eating
1.50E+12,1.50E+12,666.137931,36.25838703,601,857,665,677,1.533715344,7.063520265,689,673,657,637.8,667.1239868,40,0.494252874,0.505747126,256,1329.957498,0.034482759,0.24137931,23.24144371,3,21,16.46829396,19,71.5862069,68.01149425,62.43678161,1.146539028,0.9659,2,NA
1.50E+12,1.50E+12,664.2988506,37.51845981,601,857,661,677,1.694218599,6.492043686,684.2,667.4,653,633.8,665.3574962,34.5,0.482758621,0.517241379,256,1424.002673,0.045977011,0.195402299,23.68370003,4,17,16.99593275,19,71.64367816,69.25287356,61.56321839,1.163741598,0.963233333,2,Rest6
1.50E+12,1.50E+12,665.2159091,34.71554828,596,749,661,661,0.391531725,-0.180851048,691.4,665.8,653,638.6,666.1211414,40,0.397727273,0.602272727,153,1219.021813,0.022727273,0.238636364,20.97340509,2,21,14.11641316,16,66.875,69.82954545,68.19318182,0.980669888,0.97565,2,Rest6
