,Participant,activity,window_num,mean_ecg,median_ecg,variance_ecg,quartiled_ecg,range_ecg,max_ecg,min_ecg,80perc_ecg,20perc_ecg,HF_ecg,LF_ecg,LF/HF_ecg,RMSSD_ecg,SDSD_ecg,pNN20_ecg,pNN50_ecg,mean_GSR,sd_GSR,min_GSR,max_GSR,meidan_GSR,skew_GSR,Kurtosis_GSR,08per_GSR,20perc_GSR,mean_polar,sd_polar,min_polar,max_polar,meidan_polar,skew_polar,Kurtosis_polar,08per_polar,20perc_polar,combined
0,2,Arithmetic,1,0.404837714,0.533333333,0.810533232,0.671875,1.0,1.0,0.0,0.633802817,0.25,0.95114622,0.594255339,0.142568809,0.814870087,0.844133287,0.66114725,0.584269663,0.799800468,0.229856548,0.84855515,0.736345321,0.785809794,0.395709608,0.094675265,0.708542771,0.784306843,0.654024399,0.283344021,0.578947368,0.585365854,0.647058824,0.783040636,0.676916154,0.439189189,0.666666667,2Arithmetic
1,2,Arithmetic,2,0.794097415,0.666666667,0.179311109,0.234375,0.558139535,1.0,0.791666667,0.704225352,0.9375,0.707849728,0.587079714,0.260377141,0.512066844,0.466047167,0.692260062,0.0,0.765989733,0.176792426,0.84855515,0.729197141,0.747300685,0.52719101,0.192441199,0.670148035,0.761591997,0.487643988,0.144094003,0.526315789,0.341463415,0.529411765,0.49503011,0.216557277,0.371621622,0.555555556,2Arithmetic
2,2,Arithmetic,3,0.612898833,0.6,0.154497126,0.234375,0.255813953,0.5,0.791666667,0.563380282,0.6875,0.320922458,0.78760233,0.767445808,0.514961849,0.431161109,0.704093567,0.0,0.75930221,0.133469665,0.846201085,0.671625314,0.744726726,0.474973446,0.121545314,0.658036094,0.761591997,0.506719021,0.213270171,0.526315789,0.341463415,0.411764706,0.495141801,0.068586427,0.439189189,0.544444444,2Arithmetic
3,2,Arithmetic,4,0.379259849,0.333333333,0.201558396,0.3125,0.441860465,0.5,0.458333333,0.211267606,0.5,0.292557749,0.398260939,0.505842396,0.467555642,0.349721733,0.547137073,0.0,0.767573756,0.120868652,0.846201085,0.671625314,0.75338459,0.396360784,0.137689164,0.662608266,0.776091696,0.654396696,0.144503981,0.578947368,0.341463415,0.735294118,0.084044186,0.210982684,0.472972973,0.722222222,2Arithmetic
4,2,Arithmetic,5,0.570630681,0.466666667,0.295638861,0.15625,0.441860465,0.5,0.458333333,0.352112676,0.75,0.866751389,0.659416262,0.208214502,0.896479561,0.76979942,0.746096009,0.857142857,0.77897009,0.246191099,0.869229982,0.767173571,0.752599031,0.701611173,0.373610341,0.665466592,0.772372267,0.704237911,0.103304684,0.789473684,0.390243902,0.764705882,0.405271026,0.226137298,0.472972973,0.777777778,2Arithmetic
5,2,Arithmetic,6,0.980143478,1.0,0.429917923,0.46875,0.488372093,0.769230769,0.666666667,0.985915493,0.9375,0.430978382,1.0,0.755681788,0.817166376,0.649256575,0.866741321,0.0,0.766553884,0.274894632,0.853604449,0.767173571,0.736068862,0.691920643,0.33713001,0.66397129,0.756731762,0.838993789,0.141502499,0.789473684,0.487804878,0.882352941,0.348909499,0.201270053,0.574324324,0.888888889,2Arithmetic
6,2,Arithmetic,7,0.658253446,0.533333333,0.120579461,0.125,0.139534884,0.461538462,0.958333333,0.542253521,0.8125,0.427831121,0.403971681,0.362445083,0.321894558,0.344233034,0.389360498,0.0,0.732297173,0.080746957,0.837842448,0.625838324,0.720992813,0.422938611,0.093177943,0.629688632,0.742934097,0.767923908,0.203917528,0.684210526,0.487804878,0.823529412,0.356004551,0.139516338,0.547297297,0.777777778,2Arithmetic
7,2,Arithmetic,8,0.389132154,0.333333333,0.002684241,0.03125,0.0,0.0,0.708333333,0.14084507,0.6875,0.049752052,0.157717917,0.692093761,0.102706815,0.159819507,0.149219202,0.0,0.688617575,0.191176878,0.7676299,0.609692821,0.687648337,0.376366235,0.02142176,0.612291377,0.674222531,0.668241478,0.075887537,0.684210526,0.341463415,0.764705882,0.161310215,0.212361886,0.439189189,0.777777778,2Arithmetic
8,2,Arithmetic,9,0.375818277,0.366666667,0.01885943,0.0,0.069767442,0.115384615,0.708333333,0.070422535,0.6875,0.051436699,0.133124941,0.658817417,0.119350027,0.115209551,0.048670062,0.0,0.68608327,0.274490798,0.7676299,0.678718295,0.655373558,0.564785438,0.15093863,0.61667376,0.665919631,0.780845705,0.127697309,0.842105263,0.463414634,0.823529412,0.581301465,0.308897936,0.513513514,0.833333333,2Arithmetic
9,2,Cry 7-2,1,0.0,0.0,0.735725166,0.75,0.697674419,0.5,0.0,0.204225352,0.0,0.599972045,0.110520941,0.067711948,1.0,1.0,0.78340081,1.0,0.216863578,0.883379233,0.185732319,0.443794331,0.095754638,0.469532067,0.020700804,0.341998413,0.107498937,0.332302737,0.212954424,0.210526316,0.219512195,0.411764706,0.027761662,0.170007511,0.304054054,0.277777778,2Cry 7-2
