Start,End,mean,standard deviation,min,max,median,mode,skew,Kurtosis,80_percentile,60_percentile,40_percentile,20_percentile,RMS,IQR,count>mean,count<mean,range,COV_M,pNN50,pNN20,RMSSD,nn50,nn20,SDSD,zcross,Lf,MF,HF,Lf/HF,Count,meanGSR,standard deviationGSR,minGSR,maxGSR,medianGSR,modeGSR,skewGSR,KurtosisGSR,80_percentileGSR,60_percentileGSR,40_percentileGSR,20_percentileGSR,RMSGSR,IQRGSR,count>meanGSR,count<meanGSR,rangeGSR,COV_MGSR,meanHR,standard deviationHR,minHR,maxHR,medianHR,modeHR,skewHR,KurtosisHR,80_percentileHR,60_percentileHR,40_percentileHR,20_percentileHR,RMSHR,IQRHR,count>meanHR,count<meanHR,rangeHR,COV_MHR,Participant,Activity
1.50179219947e+12,1.50179225947e+12,663.4494382,35.44548314,573,725,661.0,657,-0.602977626,0.029840002,697.0,677.0,657.0,639.4,664.3956196,51.0,0.483146067,0.516853933,152,1270.659346,0.0,0.247191011,18.75439342,0,22,11.86666193,20,64.68539326,60.80898876,70.64044944,0.915699062,0.984116667,2.199040496,0.174117158,1.9553,2.6582,2.167,2.3154,0.864530909,0.061750488,2.3154,2.2103,2.1297,2.0417,2.20592291,0.2074,0.429752066,0.570247934,0.7029,0.030569424,152.0655738,10.97966653,133.0,175.0,150.0,146.0,0.268453302,-0.838221116,162.0,156.0,147.0,142.0,152.4614437,17.0,0.426229508,0.573770492,42.0,122.5622951,1,NA
1.50179216947e+12,1.50179222947e+12,665.5681818,43.62281395,573,726,661.5,637,-0.403203423,-0.962151121,709.0,689.8,653.0,629.0,666.9962178,68.0,0.488636364,0.511363636,153,1924.822884,0.0,0.204545455,17.34465939,0,18,11.42916198,9,63.82954545,72.43181818,73.15909091,0.872475924,0.976166667,2.204957025,0.167074754,1.9899,2.6582,2.167,2.1311,1.018785992,0.23331456,2.3154,2.2112,2.1253,2.0637,2.211277788,0.1975,0.41322314,0.58677686,0.6683,0.02814659,150.7540984,10.18461671,133.0,175.0,151.0,152.0,0.149214936,-0.753301626,161.0,152.0,147.0,142.0,151.0977319,17.0,0.524590164,0.475409836,42.0,105.4551913,1,NA
1.50179213947e+12,1.50179219947e+12,652.2444444,49.27774145,560,726,651.5,605,-0.110545022,-1.187414437,705.8,668.2,637.0,605.0,654.1032878,88.0,0.5,0.5,166,2455.580025,0.0,0.177777778,17.48835889,0,16,11.83388795,12,62.98888889,61.3,64.1,0.982665973,0.978366667,2.127866942,0.085009638,1.9899,2.475,2.1115,2.0703,1.084561106,1.936554721,2.1944,2.1317,2.0916,2.063,2.12956436,0.1196,0.438016529,0.561983471,0.4851,0.007286861,151.5737705,14.12991132,124.0,180.0,151.0,162.0,-0.008125155,-0.418661557,164.0,152.0,147.0,142.0,152.2309505,19.0,0.475409836,0.524590164,56.0,202.9819672,1,NA
1.50179210947e+12,1.50179216947e+12,630.0543478,44.6187629,557,725,623.0,617,0.173472976,-1.035746436,677.0,641.0,617.0,589.8,631.6322626,71.0,0.456521739,0.543478261,168,2012.7113,0.032608696,0.163043478,18.83200585,3,15,13.04945957,8,61.5326087,60.79347826,63.57608696,0.967857753,0.966083333,2.189161157,0.114647041,2.045,2.5035,2.1591,2.0856,0.954361337,0.266987395,2.2719,2.1944,2.1353,2.0838,2.192161152,0.172,0.429752066,0.570247934,0.4585,0.013253477,141.7704918,19.07912209,119.0,180.0,132.0,124.0,0.602394855,-1.110115731,162.0,143.0,130.0,124.0,143.0485416,38.0,0.409836066,0.590163934,61.0,370.0797814,1,NA
1.50179207947e+12,1.50179213947e+12,635.4301075,42.33897969,557,709,633.0,629,0.046075245,-1.17828284,683.4,645.0,621.0,593.0,636.8390776,80.0,0.483870968,0.516129032,152,1812.073866,0.107526882,0.268817204,26.17001271,10,25,18.76709051,20,62.8172043,61.94623656,71.04301075,0.884213713,0.984916667,2.186843802,0.107791589,2.045,2.5035,2.1708,2.086,1.141602414,0.980378508,2.2486,2.182,2.1534,2.088,2.189498764,0.1293,0.380165289,0.619834711,0.4585,0.011715852,126.3278689,5.155679063,116.0,136.0,126.0,121.0,-0.001317229,-1.13938162,132.0,128.0,124.0,121.0,126.4330316,11.0,0.475409836,0.524590164,20.0,27.02404372,1,NA
1.50179204947e+12,1.50179210947e+12,656.8777778,38.60421041,581,722,657.0,629,-0.164524114,-1.111424777,697.0,673.0,645.0,624.2,658.0111701,61.0,0.511111111,0.488888889,141,1507.029838,0.122222222,0.433333333,31.47426272,11,39,21.23015794,19,69.31111111,64.58888889,68.68888889,1.009058557,0.985316667,2.260880165,0.133032822,2.0623,2.6561,2.2257,2.1712,0.693473631,-4.03e-05,2.3877,2.2696,2.2083,2.1549,2.264790686,0.1863,0.421487603,0.578512397,0.5938,0.017845213,125.9836066,5.240109507,116.0,139.0,124.0,124.0,0.588961955,-0.227156148,131.0,126.0,124.0,122.0,126.0925369,7.0,0.426229508,0.573770492,23.0,27.91639344,1,Sing-a-song 1
1.50179201947e+12,1.50179207947e+12,653.4065934,41.43894702,577,722,653.0,629,-0.062105807,-1.251135626,698.0,669.0,634.0,613.0,654.7193006,76.0,0.494505495,0.505494505,145,1736.266178,0.087912088,0.406593407,30.14151806,8,37,20.76851844,21,62.2967033,58.46153846,63.93406593,0.974389825,0.991,2.351268595,0.113993641,2.1446,2.6561,2.3368,2.2204,0.635221136,0.126664507,2.434,2.3784,2.3093,2.2495,2.354030279,0.1465,0.487603306,0.512396694,0.5115,0.013102838,128.442623,5.73034657,120.0,139.0,128.0,133.0,0.138168735,-1.359192945,134.0,131.0,125.0,122.0,128.5703864,10.0,0.491803279,0.508196721,19.0,33.38415301,1,Sing-a-song 1
1.50179198947e+12,1.50179204947e+12,640.7311828,35.40826092,577,713,633.0,613,0.304680825,-0.875893362,677.0,641.8,625.0,610.6,641.7088074,60.0,0.430107527,0.569892473,136,1267.372604,0.086021505,0.301075269,27.10085832,8,28,18.99891799,24,60.61290323,64.35483871,67.98924731,0.891507196,0.993133333,2.358613223,0.116997038,2.1446,2.6317,2.3606,2.312,0.25780704,-0.50545869,2.4581,2.3853,2.3226,2.258,2.36151321,0.1559,0.504132231,0.495867769,0.4871,0.013802376,127.9344262,5.969509556,117.0,139.0,129.0,133.0,-0.162942213,-1.06644805,133.0,130.0,127.0,122.0,128.0736212,10.0,0.540983607,0.459016393,22.0,36.22896175,1,Sing-a-song 1
1.50179195947e+12,1.50179201947e+12,655.1444444,30.72587079,593,713,645.0,633,0.330980711,-1.183116214,689.0,658.6,637.0,629.0,655.8645609,56.0,0.422222222,0.577777778,120,954.6867665,0.055555556,0.322222222,27.63689116,5,29,18.51638349,28,64.18888889,66.02222222,67.3,0.953772495,0.982716667,2.099878512,0.474289859,1.0682,2.6136,2.3193,2.3855,-1.176404207,-0.243775913,2.421,2.3542,2.269,1.3944,2.152775101,0.405,0.73553719,0.26446281,1.5454,0.226825461,121.6229508,5.70062963,114.0,133.0,120.0,120.0,0.505160527,-1.090773295,129.0,122.0,119.0,116.0,121.7564756,10.0,0.426229508,0.573770492,19.0,33.03879781,1,Sing-a-song 1
1.50179192947e+12,1.50179198947e+12,638.032967,44.97116306,521,713,641.0,645,-0.464037081,-0.216811202,681.0,645.0,629.0,601.0,639.6158789,65.0,0.505494505,0.494505495,192,2044.876679,0.032967033,0.32967033,26.35795085,3,30,16.9830708,21,63.13186813,61.54945055,64.68131868,0.976044852,0.967683333,1.454929752,0.53065494,0.9831,2.5023,1.1727,2.3855,0.927539619,-0.891261386,2.25,1.3069,1.1115,1.0401,1.548681778,0.9376,0.289256198,0.710743802,1.5192,0.283941288,125.2459016,9.508677207,114.0,147.0,123.0,120.0,0.700326048,-0.636231234,133.0,127.0,120.0,116.0,125.6063327,14.0,0.426229508,0.573770492,33.0,91.92185792,1,Sing-a-song 1
