Start,End,mean,standard deviation,min,max,median,mode,skew,Kurtosis,80_percentile,60_percentile,40_percentile,20_percentile,RMS,IQR,count>mean,count<mean,range,COV_M,Participant,Activity
1.50179219947e+12,1.50179225947e+12,2.199040496,0.174117158,1.9553,2.6582,2.167,2.3154,0.864530909,0.061750488,2.3154,2.2103,2.1297,2.0417,2.20592291,0.2074,0.429752066,0.570247934,0.7029,0.030569424,1,NA
1.50179216947e+12,1.50179222947e+12,2.204957025,0.167074754,1.9899,2.6582,2.167,2.1311,1.018785992,0.23331456,2.3154,2.2112,2.1253,2.0637,2.211277788,0.1975,0.41322314,0.58677686,0.6683,0.02814659,1,NA
1.50179213947e+12,1.50179219947e+12,2.127866942,0.085009638,1.9899,2.475,2.1115,2.0703,1.084561106,1.936554721,2.1944,2.1317,2.0916,2.063,2.12956436,0.1196,0.438016529,0.561983471,0.4851,0.007286861,1,NA
1.50179210947e+12,1.50179216947e+12,2.189161157,0.114647041,2.045,2.5035,2.1591,2.0856,0.954361337,0.266987395,2.2719,2.1944,2.1353,2.0838,2.192161152,0.172,0.429752066,0.570247934,0.4585,0.013253477,1,NA
1.50179207947e+12,1.50179213947e+12,2.186843802,0.107791589,2.045,2.5035,2.1708,2.086,1.141602414,0.980378508,2.2486,2.182,2.1534,2.088,2.189498764,0.1293,0.380165289,0.619834711,0.4585,0.011715852,1,NA
1.50179204947e+12,1.50179210947e+12,2.260880165,0.133032822,2.0623,2.6561,2.2257,2.1712,0.693473631,-4.03e-05,2.3877,2.2696,2.2083,2.1549,2.264790686,0.1863,0.421487603,0.578512397,0.5938,0.017845213,1,Sing-a-song 1
1.50179201947e+12,1.50179207947e+12,2.351268595,0.113993641,2.1446,2.6561,2.3368,2.2204,0.635221136,0.126664507,2.434,2.3784,2.3093,2.2495,2.354030279,0.1465,0.487603306,0.512396694,0.5115,0.013102838,1,Sing-a-song 1
1.50179198947e+12,1.50179204947e+12,2.358613223,0.116997038,2.1446,2.6317,2.3606,2.312,0.25780704,-0.50545869,2.4581,2.3853,2.3226,2.258,2.36151321,0.1559,0.504132231,0.495867769,0.4871,0.013802376,1,Sing-a-song 1
1.50179195947e+12,1.50179201947e+12,2.099878512,0.474289859,1.0682,2.6136,2.3193,2.3855,-1.176404207,-0.243775913,2.421,2.3542,2.269,1.3944,2.152775101,0.405,0.73553719,0.26446281,1.5454,0.226825461,1,Sing-a-song 1
1.50179192947e+12,1.50179198947e+12,1.454929752,0.53065494,0.9831,2.5023,1.1727,2.3855,0.927539619,-0.891261386,2.25,1.3069,1.1115,1.0401,1.548681778,0.9376,0.289256198,0.710743802,1.5192,0.283941288,1,Sing-a-song 1
