Start,End,mean,standard deviation,min,max,median,mode,skew,Kurtosis,80_percentile,60_percentile,40_percentile,20_percentile,RMS,IQR,count>mean,count<mean,range,COV_M,Participant,Activity
1.50179219947e+12,1.50179225947e+12,152.0655738,10.97966653,133,175,150.0,146,0.268453302,-0.838221116,162.0,156.0,147.0,142.0,152.4614437,17.0,0.426229508,0.573770492,42,122.5622951,1,NA
1.50179216947e+12,1.50179222947e+12,150.7540984,10.18461671,133,175,151.0,152,0.149214936,-0.753301626,161.0,152.0,147.0,142.0,151.0977319,17.0,0.524590164,0.475409836,42,105.4551913,1,NA
1.50179213947e+12,1.50179219947e+12,151.5737705,14.12991132,124,180,151.0,162,-0.008125155,-0.418661557,164.0,152.0,147.0,142.0,152.2309505,19.0,0.475409836,0.524590164,56,202.9819672,1,NA
1.50179210947e+12,1.50179216947e+12,141.7704918,19.07912209,119,180,132.0,124,0.602394855,-1.110115731,162.0,143.0,130.0,124.0,143.0485416,38.0,0.409836066,0.590163934,61,370.0797814,1,NA
1.50179207947e+12,1.50179213947e+12,126.3278689,5.155679063,116,136,126.0,121,-0.001317229,-1.13938162,132.0,128.0,124.0,121.0,126.4330316,11.0,0.475409836,0.524590164,20,27.02404372,1,NA
1.50179204947e+12,1.50179210947e+12,125.9836066,5.240109507,116,139,124.0,124,0.588961955,-0.227156148,131.0,126.0,124.0,122.0,126.0925369,7.0,0.426229508,0.573770492,23,27.91639344,1,Sing-a-song 1
1.50179201947e+12,1.50179207947e+12,128.442623,5.73034657,120,139,128.0,133,0.138168735,-1.359192945,134.0,131.0,125.0,122.0,128.5703864,10.0,0.491803279,0.508196721,19,33.38415301,1,Sing-a-song 1
1.50179198947e+12,1.50179204947e+12,127.9344262,5.969509556,117,139,129.0,133,-0.162942213,-1.06644805,133.0,130.0,127.0,122.0,128.0736212,10.0,0.540983607,0.459016393,22,36.22896175,1,Sing-a-song 1
1.50179195947e+12,1.50179201947e+12,121.6229508,5.70062963,114,133,120.0,120,0.505160527,-1.090773295,129.0,122.0,119.0,116.0,121.7564756,10.0,0.426229508,0.573770492,19,33.03879781,1,Sing-a-song 1
1.50179192947e+12,1.50179198947e+12,125.2459016,9.508677207,114,147,123.0,120,0.700326048,-0.636231234,133.0,127.0,120.0,116.0,125.6063327,14.0,0.426229508,0.573770492,33,91.92185792,1,Sing-a-song 1
